Projekt;Phase;Bezeichnung;Status;Verrechenbar
3041;011;Projektleitung;A;J
3041;012;Implement verr.;A;J
3041;013;Implement nicht verr.;A;J
3130;011;Projektleitung;A;J
3130;012;Implement verr.;A;J
3041;014;Consulting REWE;A;J
3041;021;CRM Modul;A;J
3044;011;Projektleitung;A;J
3044;012;Implement verr.;A;J
3044;013;Implement nicht verr.;A;J
3044;014;Consulting REWE;A;J
3060;000;***** nicht verrechenbar *****;A;J
3060;010;Einarbeitung NV  (Aufbau Basiswissen);A;J
3060;020;div. Tätigkeiten NV (für Phasen 1xx-5xx);A;J
3060;100;*** Allgem.-Implement. verrechenbar ***;A;J
3060;110;Planung/Projektleitung;A;J
3060;130;Installation;A;J
3060;140;Systemadmin/Schulung;A;J
3060;200;*** WAWI-Implement. verrechenbar ***;A;J
3060;250;Einführung Fakturierung;A;J
3060;280;Unterstützung Echtbetrieb (GoLive);A;J
2071;510;@Altdatenübernahme;A;J
2071;515;@Reportgestaltung, Maskendesign, rs2 ADM;A;J
2071;520;@Schnittstellen zu Fremdsystemen;A;J
2071;530;@Kore-Konzept;A;J
2071;540;@EDI x.xxx € pro Strecke;A;J
2071;550;@MIS x.xxx € pro Cube ;A;J
2071;580;@EDV-Leiter Tätigkeiten;A;J
2071;585;@Sonst. vertragl. nicht geplante Zeiten;A;J
2071;590;@Wegzeiten verrechenbar;A;J
3130;014;Consulting REWE;A;J
3101;000;***** nicht verrechenbar *****;A;J
3101;010;Einarbeitung NV  (Aufbau Basiswissen);A;J
3101;020;div. Tätigkeiten NV (für Phasen 1xx-5xx);A;J
3101;100;*** Allgem.-Implement. verrechenbar ***;A;J
3101;110;Planung/Projektleitung;A;J
3101;130;Installation;A;J
3101;140;Systemadmin/Schulung;A;J
3101;200;*** WAWI-Implement. verrechenbar ***;A;J
3101;210;Analyse;A;J
3101;220;Parametrisierung I;A;J
3101;230;Schulung;A;J
3101;240;Parametrisierung II;A;J
3060;300;*** REWE-Implement. - verrechenbar ***;A;J
3060;310;Analyse Abläufe/Rahmenbedingungen;A;J
3060;330;Fibu-Einführung (Schulung, Impl.);A;J
3060;340;Kore-Einführung (Schulung, Impl.);A;J
3060;350;AVZ-Einführung (Schulung, Impl.);A;J
3060;360;Zeitsys-Einführung (Schulung, Impl.);A;J
3060;370;IURG-Einführung (Schulung, Impl.);A;J
3060;380;Unterstützung Echtbetrieb (GoLive);A;J
3060;500;***variabel: keine vertragl. Planzeit***;A;J
3060;510;Altdatenübernahme;A;J
3060;520;Schnittstellen;A;J
3060;530;Kore-Konzept;A;J
3060;540;Reportgestaltung und -anpassung;A;J
3060;590;Wegzeiten (für Phasen 0xxx - 4xxx);A;J
2128;000;***** nicht verrechenb. Leistungen *****;A;J
2128;010;Einarbeitung NV  (Aufbau Basiswissen);A;J
2128;020;div. Tätigkeiten NV ;A;J
2128;030;Wegzeit NV;A;J
2128;100;*** Allgem.-Implement. verrechenbar ***;A;J
2128;110;Projektmanagement;A;J
2128;120;Protokollierung WaWi+ReWe;A;J
2128;130;Installation rs2 + DB;A;J
2128;200;*** WAWI-Implement. verrechenbar ***;A;J
2128;210;Analyse Prozesse/Organisation;A;J
2128;220;EINKAUF I+S;A;J
2128;225;LAGER I+S;A;J
2128;230;VERKAUF I+S;A;J
2128;235;@CALL&WARTUNG I+S;A;J
2128;240;@CRM I+S inkl. TAPI;A;J
2128;250;PPS I+S;A;J
2128;289;@Sonstige Module I+S DMS;A;J
2128;290;@Unterstützung Echtbetrieb (GoLive);A;J
2128;300;*** REWE-Implement. - verrechenbar ***;A;J
2128;310;Analyse Prozesse/Organisation;A;J
2128;320;FIBU I+S;A;J
2128;330;@KORE I+S;A;J
2128;340;@AVZ I+S;A;J
2128;350;@ZSYS I+S;A;J
2128;390;@Unterstützung Echtbetrieb (GoLive);A;J
2128;500;*** Sonstige Implement. verrechenbar*** ;A;J
2128;510;Altdatenübernahme;A;J
2128;515;Reports, Masken, rs2 Admin;A;J
2128;520;@Schnittstellen zu Fremdsystemen;A;J
2128;530;@Kore-Konzept;A;J
2128;540;@EDI x.xxx € pro Strecke;A;J
2128;555;@INFO Module nach GoLive (zB. Statistik);A;J
2128;580;@EDV-Leiter Tätigkeiten;A;J
2128;585;@Sonst. vertragl. nicht geplante Zeiten;A;J
2128;590;@Wegzeiten verrechenbar;A;J
2129;011;Projektleitung;A;J
2129;012;Implementierung verrechenbar;A;J
2129;013;Implementierung nicht verrechenbar;A;J
2129;014;Consulting ReWe;A;J
2125;011;Projektleitung;A;J
2125;012;Implementierung verr.;A;J
2125;013;Implementierung nicht verr.;A;J
2125;014;Consulting REWE;A;J
